term,class,prob
從,5,0.0019092148840833820296753
一股,1,0.0001108770373655615886074
一股,3,0.0001919800340764560547379
一股,2,0.0000650681588964440246617
一股,5,0.0001168907071887784985273
香港,1,0.0001108770373655615886074
香港,3,0.0002159775383360130649683
香港,2,0.0009434883039984383237136
香港,5,0.0000389635690629261616583
頭髮,1,0.0001108770373655615886074
頭髮,3,0.0006119363586187036253491
頭髮,2,0.0001626703972411100548780
頭髮,5,0.0000779271381258523233165
坦言,1,0.0001108770373655615886074
坦言,3,0.0000239975042595570068422
坦言,2,0.0003904089533786641750754
坦言,5,0.0000389635690629261616583
人生,1,0.0001108770373655615886074
人生,3,0.0005999376064889252015491
人生,2,0.0005205452711715521972938
人生,5,0.0007403078121955970715071
食物,1,0.0003326311120966847522697
食物,3,0.0005999376064889252015491
食物,2,0.0001301363177928880493234
食物,5,0.0000389635690629261616583
家,1,0.0005543851868278080107996
家,3,0.0001679825298168990445075
家,2,0.0003578748739304421153107
家,5,0.0012857977790765634431430
我還,1,0.0001108770373655615886074
我還,3,0.0000239975042595570068422
我還,2,0.0000325340794482220123309
我還,5,0.0002337814143775569970547
處女座,1,0.0001108770373655615886074
處女座,3,0.0002279762904657915700835
處女座,2,0.0000325340794482220123309
處女座,5,0.0000389635690629261616583
或者,1,0.0002217540747311231772148
或者,3,0.0006839288713973747102504
或者,2,0.0001301363177928880493234
或者,5,0.0002727449834404831316079
病情,1,0.0001108770373655615886074
病情,3,0.0000119987521297785034211
病情,2,0.0000650681588964440246617
病情,5,0.0004285992596921877782409
情況,1,0.0002217540747311231772148
情況,3,0.0003719613160231335772556
情況,2,0.0001952044766893320875377
情況,5,0.0003506721215663354549244
電影圈,1,0.0001108770373655615886074
電影圈,3,0.0000119987521297785034211
電影圈,2,0.0002277385561375540930923
電影圈,5,0.0000389635690629261616583
配,1,0.0001108770373655615886074
配,3,0.0002159775383360130649683
配,2,0.0000325340794482220123309
配,5,0.0000389635690629261616583
如今,1,0.0001108770373655615886074
如今,3,0.0000599937606488925120234
如今,2,0.0005530793506197742570585
如今,5,0.0001558542762517046466331
最近,1,0.0003326311120966847522697
最近,3,0.0001919800340764560547379
最近,2,0.0010085564628948824432431
最近,5,0.0000779271381258523233165
營養,1,0.0001108770373655615886074
營養,3,0.0001679825298168990445075
營養,2,0.0000325340794482220123309
營養,5,0.0000389635690629261616583
清洗,1,0.0001108770373655615886074
清洗,3,0.0003119675553742410787847
清洗,2,0.0000325340794482220123309
清洗,5,0.0000389635690629261616583
扮演,1,0.0001108770373655615886074
扮演,3,0.0000479950085191140136845
扮演,2,0.0003578748739304421153107
扮演,5,0.0000389635690629261616583
功能,1,0.0001108770373655615886074
功能,3,0.0003959588202826905874859
功能,2,0.0000325340794482220123309
功能,5,0.0000389635690629261616583
上學,1,0.0001108770373655615886074
上學,3,0.0000599937606488925120234
上學,2,0.0000325340794482220123309
上學,5,0.0005454899668809662632157
跪,1,0.0001108770373655615886074
跪,3,0.0000239975042595570068422
跪,2,0.0000325340794482220123309
跪,5,0.0002337814143775569970547
終於,1,0.0005543851868278080107996
終於,3,0.0000959900170382280273689
終於,2,0.0004554771122751081861846
終於,5,0.0008961620884473018265604
好,1,0.0045459585319880249296154
好,3,0.0025077391951237072709180
好,2,0.0024075218791684287363009
好,5,0.0032339762322228715260564
什麼,1,0.0016631555604834239239787
什麼,3,0.0015238415204818697972627
什麼,2,0.0011061587012395485141170
什麼,5,0.0030781219559711668794233
下面,1,0.0004435081494622463544296
下面,3,0.0003479638117635765670252
下面,2,0.0001301363177928880493234
下面,5,0.0000389635690629261616583
月,1,0.0017740325978489854177184
月,3,0.0007319238799164887307111
月,2,0.0022448514819273187627380
月,5,0.0013247613481394894963811
天然,1,0.0001108770373655615886074
天然,3,0.0000959900170382280273689
天然,2,0.0000325340794482220123309
天然,5,0.0000389635690629261616583
照顧,1,0.0012196474110211775153390
照顧,3,0.0001079887691680065324841
照顧,2,0.0003253407944822201097561
照顧,5,0.0009351256575102279882186
皮膚,1,0.0001108770373655615886074
皮膚,3,0.0003239663075040195567948
皮膚,2,0.0000976022383446660437688
皮膚,5,0.0000389635690629261616583
可愛,1,0.0028828029715046014393176
可愛,3,0.0005039475894506971606276
可愛,2,0.0005205452711715521972938
可愛,5,0.0001948178453146308082913
魅力,1,0.0002217540747311231772148
魅力,3,0.0003599625638933550992454
魅力,2,0.0002928067150339981042015
魅力,5,0.0000779271381258523233165
或,1,0.0001108770373655615886074
或,3,0.0015958340332605409905842
或,2,0.0001626703972411100548780
或,5,0.0004285992596921877782409
實用,1,0.0001108770373655615886074
實用,3,0.0001439850255573420342772
實用,2,0.0000325340794482220123309
實用,5,0.0000389635690629261616583
建議,1,0.0001108770373655615886074
建議,3,0.0003719613160231335772556
建議,2,0.0001626703972411100548780
建議,5,0.0000389635690629261616583
妻子,1,0.0001108770373655615886074
妻子,3,0.0001919800340764560547379
妻子,2,0.0002602726355857760986469
妻子,5,0.0010909799337619325264315
這種,1,0.0003326311120966847522697
這種,3,0.0006239351107484821575694
這種,2,0.0002928067150339981042015
這種,5,0.0003506721215663354549244
2,1,0.0003326311120966847522697
2,3,0.0017998128194667754962272
2,2,0.0011712268601359924168059
2,5,0.0005454899668809662632157
去,1,0.0021066637099456703326184
去,3,0.0013438602385351923560602
去,2,0.0014965676546182125807721
去,5,0.0042080654587960258927737
肌膚,1,0.0001108770373655615886074
肌膚,3,0.0002039787862062345598531
肌膚,2,0.0000325340794482220123309
肌膚,5,0.0000389635690629261616583
豐富,1,0.0001108770373655615886074
豐富,3,0.0002639725468551270583240
豐富,2,0.0000650681588964440246617
豐富,5,0.0000389635690629261616583
播出,1,0.0001108770373655615886074
